,Continent,Country,Year,Population,LifeExp,gdpPercap
0,Asia,Afghanistan,1997,22227415.0,41.763000000000005,635.341351
1,Asia,Afghanistan,2002,25268405.0,42.129,726.7340548
2,Asia,Afghanistan,2007,31889923.0,43.828,974.5803384
3,Asia,Afghanistan,1952,8425333.0,28.801,779.4453145
4,Asia,Afghanistan,1957,9240934.0,30.331999999999997,820.8530296
5,Asia,Afghanistan,1962,10267083.0,31.997,853.1007099999999
6,Asia,Afghanistan,1967,11537966.0,34.02,836.1971382
7,Asia,Afghanistan,1972,13079460.0,36.088,739.9811057999999
8,Asia,Afghanistan,1977,14880372.0,38.438,786.11336
9,Asia,Afghanistan,1982,12881816.0,39.854,978.0114388000001
10,Asia,Afghanistan,1987,13867957.0,40.821999999999996,852.3959447999999
11,Asia,Afghanistan,1992,16317921.0,41.674,649.3413952000001
12,Europe,Albania,1952,1282697.0,55.23,1601.056136
13,Europe,Albania,1957,1476505.0,59.28,1942.2842440000002
14,Europe,Albania,1962,1728137.0,64.82,2312.888958
15,Europe,Albania,1967,1984060.0,66.22,2760.196931
16,Europe,Albania,1972,2263554.0,67.69,3313.422188
17,Europe,Albania,1977,2509048.0,68.93,3533.0039100000004
18,Europe,Albania,1982,2780097.0,70.42,3630.880722
19,Europe,Albania,1987,3075321.0,72.0,3738.9327350000003
20,Europe,Albania,1992,3326498.0,71.581,2497.4379010000002
21,Europe,Albania,1997,3428038.0,72.95,3193.054604
22,Europe,Albania,2002,3508512.0,75.65100000000001,4604.211737
23,Europe,Albania,2007,3600523.0,76.423,5937.029525999999
24,Africa,Algeria,1962,11000948.0,48.303000000000004,2550.81688
25,Africa,Algeria,1967,12760499.0,51.407,3246.991771
26,Africa,Algeria,1972,14760787.0,54.518,4182.663766
27,Africa,Algeria,1977,17152804.0,58.013999999999996,4910.4167560000005
28,Africa,Algeria,1982,20033753.0,61.368,5745.160213
29,Africa,Algeria,1952,9279525.0,43.077,2449.008185
30,Africa,Algeria,1957,10270856.0,45.685,3013.976023
31,Africa,Algeria,1987,23254956.0,65.79899999999999,5681.358539
32,Africa,Algeria,1992,26298373.0,67.744,5023.216647
33,Africa,Algeria,1997,29072015.0,69.152,4797.295051
34,Africa,Algeria,2002,31287142.0,70.994,5288.040382
35,Africa,Algeria,2007,33333216.0,72.301,6223.367465
36,Africa,Angola,1952,4232095.0,30.015,3520.610273
37,Africa,Angola,1957,4561361.0,31.999000000000002,3827.9404649999997
38,Africa,Angola,1962,4826015.0,34.0,4269.276742
39,Africa,Angola,1967,5247469.0,35.985,5522.776375
40,Africa,Angola,1972,5894858.0,37.928000000000004,5473.288004999999
41,Africa,Angola,1977,6162675.0,39.483000000000004,3008.647355
42,Africa,Angola,1982,7016384.0,39.942,2756.953672
43,Africa,Angola,1987,7874230.0,39.906,2430.208311
44,Africa,Angola,1992,8735988.0,40.647,2627.8456850000002
45,Africa,Angola,1997,9875024.0,40.963,2277.140884
46,Africa,Angola,2002,10866106.0,41.003,2773.287312
47,Africa,Angola,2007,12420476.0,42.731,4797.231267
48,Americas,Argentina,1952,17876956.0,62.485,5911.315053
49,Americas,Argentina,1957,19610538.0,64.399,6856.856212000001
50,Americas,Argentina,1962,21283783.0,65.142,7133.166023000001
51,Americas,Argentina,1967,22934225.0,65.634,8052.953020999999
52,Americas,Argentina,1972,24779799.0,67.065,9443.038526
53,Americas,Argentina,1977,26983828.0,68.48100000000001,10079.026740000001
54,Americas,Argentina,1982,29341374.0,69.942,8997.897412
55,Americas,Argentina,1987,31620918.0,70.774,9139.671389
56,Americas,Argentina,1992,33958947.0,71.868,9308.41871
57,Americas,Argentina,1997,36203463.0,73.275,10967.28195
58,Americas,Argentina,2002,38331121.0,74.34,8797.640716
59,Americas,Argentina,2007,40301927.0,75.32,12779.379640000001
60,Oceania,Australia,1952,8691212.0,69.12,10039.595640000001
61,Oceania,Australia,1957,9712569.0,70.33,10949.64959
62,Oceania,Australia,1962,10794968.0,70.93,12217.226859999999
63,Oceania,Australia,1967,11872264.0,71.1,14526.12465
64,Oceania,Australia,1972,13177000.0,71.93,16788.62948
65,Oceania,Australia,1977,14074100.0,73.49,18334.197509999998
66,Oceania,Australia,1982,15184200.0,74.74,19477.009280000002
67,Oceania,Australia,1987,16257249.0,76.32,21888.889030000002
68,Oceania,Australia,1992,17481977.0,77.56,23424.76683
69,Oceania,Australia,1997,18565243.0,78.83,26997.936569999998
70,Oceania,Australia,2002,19546792.0,80.37,30687.75473
71,Oceania,Australia,2007,20434176.0,81.235,34435.367439999995
72,Europe,Austria,1952,6927772.0,66.8,6137.076492
73,Europe,Austria,1957,6965860.0,67.48,8842.59803
74,Europe,Austria,1962,7129864.0,69.54,10750.721109999999
75,Europe,Austria,1967,7376998.0,70.14,12834.6024
76,Europe,Austria,1972,7544201.0,70.63,16661.6256
77,Europe,Austria,1977,7568430.0,72.17,19749.4223
78,Europe,Austria,1982,7574613.0,73.18,21597.083619999998
79,Europe,Austria,1987,7578903.0,74.94,23687.82607
80,Europe,Austria,1992,7914969.0,76.04,27042.01868
81,Europe,Austria,1997,8069876.0,77.51,29095.920660000003
82,Europe,Austria,2002,8148312.0,78.98,32417.607689999997
83,Europe,Austria,2007,8199783.0,79.829,36126.4927
84,Asia,Bahrain,1952,120447.0,50.93899999999999,9867.084765000001
85,Asia,Bahrain,1957,138655.0,53.832,11635.79945
86,Asia,Bahrain,1962,171863.0,56.923,12753.27514
87,Asia,Bahrain,1967,202182.0,59.923,14804.6727
88,Asia,Bahrain,1972,230800.0,63.3,18268.65839
89,Asia,Bahrain,1977,297410.0,65.593,19340.10196
90,Asia,Bahrain,1982,377967.0,69.05199999999999,19211.14731
91,Asia,Bahrain,1987,454612.0,70.75,18524.02406
92,Asia,Bahrain,1992,529491.0,72.601,19035.579169999997
93,Asia,Bahrain,1997,598561.0,73.925,20292.01679
94,Asia,Bahrain,2002,656397.0,74.795,23403.559269999998
95,Asia,Bahrain,2007,708573.0,75.635,29796.048339999998
96,Asia,Bangladesh,1952,46886859.0,37.484,684.2441716
97,Asia,Bangladesh,1957,51365468.0,39.348,661.6374577
98,Asia,Bangladesh,1962,56839289.0,41.216,686.3415537999999
99,Asia,Bangladesh,1967,62821884.0,43.453,721.1860862000001
100,Asia,Bangladesh,1972,70759295.0,45.251999999999995,630.2336265
101,Asia,Bangladesh,1977,80428306.0,46.923,659.8772322000001
102,Asia,Bangladesh,1982,93074406.0,50.00899999999999,676.9818656
103,Asia,Bangladesh,1987,103764241.0,52.818999999999996,751.9794035
104,Asia,Bangladesh,1992,113704579.0,56.018,837.8101642999999
105,Asia,Bangladesh,1997,123315288.0,59.412,972.7700352
106,Asia,Bangladesh,2002,135656790.0,62.013000000000005,1136.3904300000002
107,Asia,Bangladesh,2007,150448339.0,64.062,1391.253792
108,Europe,Belgium,1952,8730405.0,68.0,8343.105126999999
109,Europe,Belgium,1957,8989111.0,69.24,9714.960623
110,Europe,Belgium,1962,9218400.0,70.25,10991.20676
111,Europe,Belgium,1967,9556500.0,70.94,13149.04119
112,Europe,Belgium,1972,9709100.0,71.44,16672.14356
113,Europe,Belgium,1977,9821800.0,72.8,19117.97448
114,Europe,Belgium,1982,9856303.0,73.93,20979.84589
115,Europe,Belgium,1987,9870200.0,75.35,22525.56308
116,Europe,Belgium,1992,10045622.0,76.46,25575.57069
117,Europe,Belgium,1997,10199787.0,77.53,27561.196630000002
118,Europe,Belgium,2002,10311970.0,78.32,30485.88375
119,Europe,Belgium,2007,10392226.0,79.441,33692.60508
120,Africa,Benin,1952,1738315.0,38.223,1062.7522
121,Africa,Benin,1957,1925173.0,40.358000000000004,959.6010805
122,Africa,Benin,1962,2151895.0,42.618,949.4990641
123,Africa,Benin,1967,2427334.0,44.885,1035.831411
124,Africa,Benin,1972,2761407.0,47.013999999999996,1085.796879
125,Africa,Benin,1977,3168267.0,49.19,1029.161251
126,Africa,Benin,1982,3641603.0,50.903999999999996,1277.897616
127,Africa,Benin,1987,4243788.0,52.336999999999996,1225.85601
128,Africa,Benin,1992,4981671.0,53.919,1191.207681
129,Africa,Benin,1997,6066080.0,54.777,1232.975292
130,Africa,Benin,2002,7026113.0,54.406000000000006,1372.877931
131,Africa,Benin,2007,8078314.0,56.728,1441.284873
132,Americas,Bolivia,1952,2883315.0,40.414,2677.3263469999997
133,Americas,Bolivia,1957,3211738.0,41.89,2127.686326
134,Americas,Bolivia,1962,3593918.0,43.428000000000004,2180.972546
135,Americas,Bolivia,1967,4040665.0,45.032,2586.886053
136,Americas,Bolivia,1972,4565872.0,46.714,2980.331339
137,Americas,Bolivia,1977,5079716.0,50.023,3548.097832
138,Americas,Bolivia,1982,5642224.0,53.858999999999995,3156.510452
139,Americas,Bolivia,1987,6156369.0,57.251000000000005,2753.6914899999997
140,Americas,Bolivia,1992,6893451.0,59.957,2961.699694
141,Americas,Bolivia,1997,7693188.0,62.05,3326.143191
